# Abbreviations:
# ====================
#S = Singular
#P = Plural
#-P = Only with possessive suffix
#-------------------------
#Nom = Nominative (valo)
#Gen = Genetive (valon)
#Acc = Akkusative (valon, valo)
#Par = Partitive (valoa)
#Ine = Inessive (valossa)
#Ela = Elative (valosta)
#Ill = Illative (valoon)
#Ade = Adessive (valolla)
#Abl = Ablative (valolta)
#All = Allative (valolle)
#Ess = Essive (valona)
#Tra = Translative (valoksi)
#Ins = Instructive (valoin)
#Abe = Abessive (valotta)
#Com = Komitative (valoine-P)
#----------------------------
#G = Gradation
#S = Strong
#W = Weak
#---------------------

# Personal Pronouns
# ==================

<minä>
S:Nom: minä
S:Gen: minun
S:Par: minun
S:Akk: minut
S:Ine: minussa
S:Ela: minusta
S:Ill: minuun
S:Ade: minulla
S:Abl: minulta
S:All: minulle
S:Ess: minuna
S:Tra: minuksi
S:Abe: (minutta)

<mä>
S:Nom: mä
S:Gen: mun
S:Par: mua
S:Akk: mut
S:Ine: mussa
S:Ela: musta
S:Ill: muhun
S:Ade: mulla
S:Abl: multa
S:All: mulle
S:Ess: muna
S:Tra: muksi

<sinä>
S:Nom: sinä
S:Gen: sinun
S:Par: sinua
S:Akk: sinut
S:Ine: sinussa
S:Ela: sinusta
S:Ill: sinuun
S:Ade: sinulla
S:Abl: sinulta
S:All: sinulle
S:Ess: sinuna
S:Tra: sinuksi
S:Abe: (sinutta)

<sä>
S:Nom: sä
S:Gen: sun
S:Par: sua
S:Akk: sut
S:Ine: sussa
S:Ela: susta
S:Ill: suhun
S:Ade: sulla
S:Abl: sulta
S:All: sulle
S:Ess: suna
S:Tra: suksi

<hän>
S:Nom: hän
S:Gen: hänen
S:Par: häntä
S:Akk: hänet
S:Ine: hänessä
S:Ela: hänestä
S:Ill: häneen
S:Ade: hänellä
S:Abl: häneltä
S:All: hänelle
S:Ess: hänenä
S:Tra: häneksi
S:Abe: hänettä

<me>
P:Nom: me
P:Gen: meidän
P:Par: meitä
P:Akk: meidät
P:Ine: meissä
P:Ela: meistä
P:Ill: meihin
P:Ade: meillä
P:Abl: meiltä
P:All: meille
P:Ess: meinä
P:Tra: meiksi
P:Abe: (meittä)

<te>
P:Nom: te
P:Gen: teidän
P:Par: teitä
P:Akk: teidät
P:Ine: teissä
P:Ela: teistä
P:Ill: teihin
P:Ade: teillä
P:Abl: teiltä
P:All: teille
P:Ess: teinä
P:Tra: teiksi
P:Abe: (teittä)

<he>
P:Nom: he
P:Gen: heidän
P:Par: heitä
P:Akk: heidät
P:Ine: heissä
P:Ela: heistä
P:Ill: heihin
P:Ade: heillä
P:Abl: heiltä
P:All: heille
P:Ess: heinä
P:Tra: heiksi
P:Abe: heittä

# Demonstrative Pronouns
# ======================

<tämä>
S:Nom: tämä tää
S:Gen: tämän
S:Par: tätä
S:Akk: tämä tämän
S:Ine: tässä
S:Ela: tästä
S:Ill: tähän
S:Ade: tällä
S:Abl: tältä
S:All: tälle
S:Ess: tänä
S:Tra: täksi

<tuo>
S:Nom: tuo
S:Gen: tuon
S:Par: tuota
S:Akk: tuo tuon
S:Ine: tuossa
S:Ela: tuosta
S:Ill: tuohon
S:Ade: tuolla
S:Abl: tuolta
S:All: tuolle
S:Ess: tuona
S:Tra: tuoksi
S:Abe: (tuotta)

<se>
S:Nom: se
S:Gen: sen
S:Par: sitä
S:Akk: se sen
S:Ine: siinä
S:Ela: siitä
S:Ill: siihen
S:Ade: sillä
S:Abl: siltä
S:All: sille
S:Ess: sinä
S:Tra: siksi

<nämä>
P:Nom: nämä
P:Gen: näiden näitten
P:Par: näitä
P:Akk: nämä
P:Ine: näissä
P:Ela: näistä
P:Ill: näihin
P:Ade: näillä
P:Abl: näiltä
P:All: näille
P:Ess: näinä
P:Tra: näiksi
P:Ins: näin
P:Abe: (näittä)
P:Kom: näine

<nuo>
P:Nom: nuo
P:Gen: noiden noitten
P:Par: noita
P:Akk: nuo
P:Ine: noissa
P:Ela: noista
P:Ill: noihin
P:Ade: noilla
P:Abl: noilta
P:All: noille
P:Ess: noina
P:Tra: noiksi
P:Ins: noin
P:Abe: (noitta)
P:Kom: noine

<ne>
P:Nom: ne
P:Gen: niiden niitten
P:Par: niitä
P:Akk: ne
P:Ine: niissä
P:Ela: niistä
P:Ill: niihin
P:Ade: niillä
P:Abl: niiltä
P:All: niille
P:Ess: niinä
P:Tra: niiksi
P:Ins: niin
P:Abe: (niittä)
P:Kom: niine

# Interrogative and relative Pronouns
# ===================================

<joka>
S:Nom: joka
S:Gen: jonka
S:Par: jota
S:Akk: joka jonka
S:Ine: jossa
S:Ela: josta
S:Ill: johon
S:Ade: jolla
S:Abl: jolta
S:All: jolle
S:Ess: jona
S:Tra: joksi
S:Abe: (jotta)

P:Nom: jotka
P:Gen: joiden joitten
P:Par: joita
P:Akk: jotka
P:Ine: joissa
P:Ela: joista
P:Ill: joihin
P:Ade: joilla
P:Abl: joilta
P:All: joille
P:Ess: joina
P:Tra: joiksi
P:Ins: (join)
P:Abe: (joitta)
P:Kom: (joine)

<kuka>
S:Nom: kuka (ken)
S:Gen: kenen (kunka)
S:Par: ketä (kuta)
S:Akk: kenet (kuka) (kunka)
S:Ine: kenessä (kussa)
S:Ela: kenestä (kusta)
S:Ill: keneen kehen (kuhun)
S:Ade: kenellä kellä (kulla)
S:Abl: keneltä keltä (kulta)
S:All: kenelle kelle (kulle)
S:Ess: kenenä (kuna)
S:Tra: keneksi (kuksi)

P:Nom: ketkä (kutka)
P:Gen: keiden keitten (kuiden) (kuitten)
P:Par: keitä (kuita)
P:Akk: ketkä (kutka)
P:Ine: keissä (kuissa)
P:Ela: keistä (kuista)
P:Ill: keihin (kuihin)
P:Ade: keillä (kuilla)
P:Abl: keiltä (kuilta)
P:All: keille (kuille)
P:Ess: keinä (kuina)
P:Tra: keiksi (kuiksi)

<mikä>
S:Nom: mikä
S:Gen: minkä
S:Par: mitä
S:Akk: mikä minkä
S:Ine: missä
S:Ela: mistä
S:Ill: mihin (mihinkä)
S:Ade: millä
S:Abl: miltä
S:All: mille (millekä)
S:Ess: minä
S:Tra: miksi (miksikä)

P:Nom: mitkä
P:Gen: minkä
P:Par: mitä
P:Akk: mitkä
P:Ine: missä
P:Ela: mistä
P:Ill: mihin (mihinkä)
P:Ade: millä
P:Abl: miltä
P:All: mille (millekä)
P:Ess: minä
P:Tra: miksi (miksikä)

# Quantifier Pronouns
# ===================

<kukaan>
S:Nom: kukaan (kenkään)
